"Fish_Type,Pond_Size,Feed_Cost,Labor_Cost,Temperature,Rainfall,Season,Market_Price_per_kg,Yield_kg,Total_Cost,Revenue,Profit"
"2,0.8610518554773899,17629,17452,29.41990073906147,151.9289426663063,2,157,2421,35081,380097,345016"
"1,2.860301253066146,18325,14190,23.71265109710618,81.39139465931285,2,169,1882,32515,318058,285543"
"2,2.346785721453477,38495,7567,22.442225745152957,92.8237394554176,1,152,2622,46062,398544,352482"
"2,4.920703776088729,41750,6307,22.803716609126923,256.8391387065364,2,165,2069,48057,341385,293328"
"1,1.0041750597562356,39619,19852,20.296934875208816,196.20965792222052,2,157,2394,59471,375858,316387"
"1,2.2903501957058374,18264,13848,25.860231664789087,134.38311647095475,2,181,2743,32112,496483,464371"
"2,4.86261694973916,22686,7660,22.871415207493136,250.7128022488865,0,186,2366,30346,440076,409730"
"0,4.394782066522911,34226,15403,26.174831906850535,111.62997640949575,1,101,528,49629,53328,3699"
"2,4.176824319271759,16721,15101,34.024916477581485,294.00817465005093,2,249,1205,31822,300045,268223"
"2,1.6605627217022292,30609,8730,26.45810314260785,136.20440193654244,1,136,1520,39339,206720,167381"
"2,1.2689941432552962,17373,15238,33.169767454772526,134.3277385378069,1,247,2563,32611,633061,600450"
"2,3.5088944896599394,48675,11207,29.08257149923815,127.9779763841763,1,202,1946,59882,393092,333210"
"1,4.682191951074136,38937,8162,23.706973319920877,80.52787898107198,2,123,2159,47099,265557,218458"
"2,3.005433018562684,15656,6140,25.337821388888173,77.78428683300311,2,211,1466,21796,309326,287530"
"0,3.0722571026145493,18984,19177,21.258793037321443,212.02625863353086,1,164,2776,38161,455264,417103"
"1,1.7599059214712787,39984,13458,25.001938903940157,268.7795111395118,0,228,1072,53442,244416,190974"
"0,3.962718199363716,18286,15037,30.16311418255301,247.63012756791838,1,216,2106,33323,454896,421573"
"0,1.3416968685088553,15901,6708,21.08166639394153,85.27689850533777,0,215,1114,22609,239510,216901"
"0,1.9565565638190965,41552,8630,23.08102112717044,186.39553044801661,1,204,825,50182,168300,118118"
"0,2.4144639737738753,35709,8211,25.72161562119967,76.39788649416,1,102,858,43920,87516,43596"
"1,2.7842467040800476,41055,15485,34.73074305523944,61.323660903269364,1,145,2310,56540,334950,278410"
"1,1.590843795867861,47685,16924,31.772927344383202,214.09646484619182,2,154,2871,64609,442134,377525"
"0,1.016765711326416,18429,17021,31.002301197381556,183.7880834200876,0,174,2221,35450,386454,351004"
"0,3.2477901909873466,24716,11538,21.74286434788169,70.5059213028677,0,144,1849,36254,266256,230002"
"1,1.798837489581151,21138,14702,31.714938404224874,58.734811601497114,1,176,664,35840,116864,81024"
"1,3.1155719964017554,45298,5475,31.779032172740227,297.43910335233363,2,123,2096,50773,257808,207035"
"1,1.1946322187339105,33429,12684,29.016540434364924,57.50533303726797,2,134,2127,46113,285018,238905"
"2,2.665130458346679,15772,14168,34.85542672997558,161.13206326253993,0,123,1676,29940,206148,176208"
"2,2.896652446482136,45732,6207,24.878808588868278,176.1547561519239,2,127,1650,51939,209550,157611"
"2,0.7332059157009211,49905,18331,34.119086723627774,79.32003695011126,0,115,692,68236,79580,11344"
"0,2.0147192518726427,27347,6960,33.720966724347555,92.26544460992906,0,158,591,34307,93378,59071"
"2,1.104866046225384,26920,5557,20.172209896240666,137.95125160258812,0,243,638,32477,155034,122557"
"0,0.7851873671274548,41822,18305,26.751747897122165,240.41896905341565,2,114,980,60127,111720,51593"
"0,4.954821045754754,33563,18893,34.6565634957736,176.77060601506668,0,110,2996,52456,329560,277104"
"2,1.9505923023862533,17967,5882,21.546820436121138,209.4754686382404,0,178,1856,23849,330368,306519"
"0,4.144435006345857,21871,15386,28.216770415749792,296.2936387726687,1,214,839,37257,179546,142289"
"2,1.6458829464369373,38763,9761,34.68436260561656,242.00135882830241,0,167,1575,48524,263025,214501"
"2,3.566762250007682,21916,15859,28.3324313615879,158.59037453530442,0,142,1298,37775,184316,146541"
"1,3.9210253695035897,18734,10867,22.84722954458234,161.61048044913719,1,168,974,29601,163632,134031"
"2,3.1803743327352993,43613,11963,28.732748451388847,204.69301926025125,1,240,2948,55576,707520,651944"
"1,2.6220928484757127,38179,18151,23.066608609243204,216.34130210472608,2,237,1962,56330,464994,408664"
"2,2.3532841136627085,45262,17869,27.795563943417264,175.17773145916783,0,174,1104,63131,192096,128965"
"2,2.069907199443479,22677,12166,21.11063326868522,211.21530570374497,2,202,1320,34843,266640,231797"
"1,4.682881149115216,28268,17982,29.08224003821607,55.883123603524695,2,140,1097,46250,153580,107330"
"1,4.237787335044781,22330,12929,27.751849086922373,157.40571597421103,1,158,2032,35259,321056,285797"
"2,4.842621097999307,30733,10347,31.10242053142195,119.73451901836918,2,138,1013,41080,139794,98714"
"0,1.0593375056849512,47947,12269,29.460507067381776,82.2936113107776,0,102,2026,60216,206652,146436"
"1,3.788903638416399,37286,14802,28.24409402796135,74.88662820219378,1,106,2377,52088,251962,199874"
"0,4.72253205569467,16610,16680,30.346682738721817,200.79804140366687,0,148,2199,33290,325452,292162"
"0,1.3155487977454707,16430,13125,22.159128703583463,180.90013678815293,0,125,1529,29555,191125,161570"
"0,0.7992332031504987,49922,18527,28.93039491887906,113.3960292490923,1,200,999,68449,199800,131351"
"1,3.8350429218052655,23828,7454,22.581659042341666,167.73751469312862,0,178,2184,31282,388752,357470"
"0,3.0851290093096035,41497,9494,33.88283311777821,173.05807879560206,1,101,1216,50991,122816,71825"
"1,4.288229495412224,49256,6946,21.025011572684065,98.75224510965396,0,226,1641,56202,370866,314664"
"0,1.1289756948183027,46618,18002,26.455621245361897,213.02326547041267,1,231,2008,64620,463848,399228"
"2,4.078702903369505,36526,17991,30.436962164831673,245.22983909652262,2,119,1165,54517,138635,84118"
"2,1.4073229402148504,40158,7808,26.87033317502388,247.86588522237975,0,216,2708,47966,584928,536962"
"1,1.2364517428956703,35032,11642,21.381428798493534,200.61745767586376,1,131,2817,46674,369027,322353"
"2,1.2391960906894681,47846,8825,28.30068524190061,177.90964562975353,0,127,1579,56671,200533,143862"
"2,4.16558624104122,39794,8536,29.624478632410316,65.25178575134872,0,176,727,48330,127952,79622"
"0,3.4933874931329005,15448,19002,30.556884664857613,121.95782471290147,0,100,648,34450,64800,30350"
"1,2.853794411461037,38861,11068,25.598897216941385,73.31786169454247,1,155,1569,49929,243195,193266"
"0,2.114737178555761,38141,8802,28.454899565431433,290.9557902196184,2,134,1667,46943,223378,176435"
"0,4.447402433658987,19074,17369,26.760297124083696,83.77003655644017,2,211,1131,36443,238641,202198"
"0,2.2660029834018593,16406,9699,30.080840581283802,87.94385246277551,2,129,1863,26105,240327,214222"
"0,4.174697477622097,41823,6970,28.753354509872278,272.39415458262306,1,153,912,48793,139536,90743"
"0,2.476107088565983,33291,10806,27.88634329338702,285.98207086911447,2,135,2255,44097,304425,260328"
"0,2.1962499324120843,42003,11142,23.74286550257373,241.45725980872746,1,179,1019,53145,182401,129256"
"0,2.582059035513229,44406,17014,20.03027776622351,51.35123091816747,0,157,1867,61420,293119,231699"
"1,1.8562004337386393,33312,7819,22.61122512967144,50.336567739140925,0,182,2934,41131,533988,492857"
"2,3.86424221079313,11382,14094,21.75599062136253,144.5251924468627,2,164,2822,25476,462808,437332"
"0,2.7622417554161562,44171,5364,26.7362711751642,85.84884250272313,1,168,2900,49535,487200,437665"
"0,1.5449571281606778,13292,9258,29.18387226142767,54.59653553789932,0,227,1602,22550,363654,341104"
"0,4.548085579735558,43187,8119,23.196275130272124,166.01667235112618,1,150,1097,51306,164550,113244"
"0,2.2275104961794514,22411,15750,34.08585643950781,285.7654743517429,1,121,2159,38161,261239,223078"
"0,2.945987875012949,47285,6863,20.100231938358316,130.95489372560786,0,206,2185,54148,450110,395962"
"0,4.579124499340462,25422,5115,31.584515227480143,215.28516960717414,1,208,2660,30537,553280,522743"
"2,3.3090709816129644,42371,12084,29.378071542956633,213.0588382831102,0,215,2688,54455,577920,523465"
"2,1.0260411831876384,15693,13016,25.60332201571523,112.77002591629193,0,200,2424,28709,484800,456091"
"0,4.729244556260638,43535,7384,20.75733416618612,212.60631220596608,0,199,1229,50919,244571,193652"
"2,3.3246862388213803,24818,18168,29.41229857676419,103.08349357172281,1,167,1088,42986,181696,138710"
"1,2.0070752659568876,41238,8935,25.78420269298472,80.50185339422227,0,135,2958,50173,399330,349157"
"0,1.1267243269852427,40874,18127,34.04400709119829,225.34582138992252,1,245,876,59001,214620,155619"
"1,4.073113351716332,36715,19482,28.12985112334649,78.36020427597919,0,121,1907,56197,230747,174550"
"1,3.2903274016783106,37605,12742,34.09477266940262,299.2273046473388,0,165,2369,50347,390885,340538"
"0,2.900574913893447,44317,10442,23.30725540209956,95.86310028755733,2,120,1250,54759,150000,95241"
"2,4.5225166237293095,41174,7490,30.88588865546155,198.53546568911437,2,199,1126,48664,224074,175410"
"1,4.048687450510388,19956,11980,29.258735312730884,152.84364285314734,2,227,2129,31936,483283,451347"
"0,1.1825369587973804,48908,18324,31.091123447469677,81.59660560141677,1,143,1494,67232,213642,146410"
"1,1.902749305079967,20837,14134,23.220017959588052,56.96097689435335,1,202,2083,34971,420766,385795"
"1,1.618201129165096,13716,12661,29.974917743566607,205.6830705732083,0,146,1202,26377,175492,149115"
"1,3.847758316577046,14481,6724,27.470605895853033,251.68939094728154,0,138,2559,21205,353142,331937"
"1,0.6508959563110073,34282,15526,31.142374623594744,260.503915376686,0,128,1679,49808,214912,165104"
"2,3.0645035819209245,16548,13182,24.905669662277266,170.6783682692336,0,153,976,29730,149328,119598"
"1,3.9310640858331074,47605,7767,33.35085538197879,244.36386679559638,1,189,900,55372,170100,114728"
"1,4.445445365427872,17758,6137,21.264519719170256,218.21178337213618,0,184,2724,23895,501216,477321"
"1,2.0393678692215835,33177,15719,32.107839781867824,231.0636318747833,0,116,556,48896,64496,15600"
"2,4.195657871024058,34022,9117,32.91979438722636,173.14975130545352,2,179,2375,43139,425125,381986"
"1,0.9978428162984325,15542,8420,32.258784670502315,208.35293506053176,0,172,947,23962,162884,138922"
"1,4.309035312805332,35476,10845,27.69089591392664,251.38147839401424,0,148,702,46321,103896,57575"
"2,1.073698980493921,40784,9778,26.57577470046142,149.47104388925578,0,200,2156,50562,431200,380638"
"2,2.2877928075216527,32740,8906,34.943934297873156,251.49472521689594,1,101,1237,41646,124937,83291"
"2,4.087829146007991,34817,8637,23.43757926821243,198.0042106972657,2,241,701,43454,168941,125487"
"1,1.174628423069482,26052,7953,28.20313948814067,91.47525609269655,0,158,1853,34005,292774,258769"
"2,1.5316312785468866,45153,10929,30.060132880734884,56.171039306146156,0,196,2910,56082,570360,514278"
"2,3.750136557768798,10671,15559,30.513014537921478,140.688400099788,2,198,1391,26230,275418,249188"
"1,3.7401644144573347,10163,17413,23.06036998607868,186.67408207408496,0,202,2903,27576,586406,558830"
"2,3.385164347983838,14795,5276,29.809911385097017,259.95508805087206,1,101,715,20071,72215,52144"
"1,3.62276800010195,20634,6999,32.275543497220056,81.87142003506155,0,140,522,27633,73080,45447"
"0,2.942259995064183,14798,6227,20.750278652316684,250.05158692089478,1,222,2702,21025,599844,578819"
"2,1.6330957650812874,32420,11337,33.67281939987975,265.7522615168067,1,181,1709,43757,309329,265572"
"0,2.0556319707676374,39300,16944,20.442560827178088,87.67187175020845,0,243,2796,56244,679428,623184"
"1,1.3171897256064156,34345,8735,25.339565487325913,262.89857982605474,2,231,1248,43080,288288,245208"
"2,4.588027526001327,20749,5695,20.23719794349443,297.863391960698,1,239,1304,26444,311656,285212"
"1,3.125263076447542,48595,14501,21.15717752809373,231.7097077620594,2,128,633,63096,81024,17928"
"0,2.3038313754363795,35121,9152,33.66752427770119,246.192420456247,0,234,820,44273,191880,147607"
"1,2.5790261163985972,47487,12901,25.322912461192217,298.60381688971836,1,113,2937,60388,331881,271493"
"2,4.762775028253169,38411,12470,26.371572956375793,201.37031263148634,0,111,933,50881,103563,52682"
"2,1.190081314022361,43361,16426,23.230165720738288,126.97159550406235,2,198,1545,59787,305910,246123"
"0,3.1380342440755875,31223,17306,28.956436552800795,259.38270851901393,0,232,1372,48529,318304,269775"
"1,2.7764990549800967,17394,12537,28.922048220166843,203.6214443779078,0,180,2598,29931,467640,437709"
"2,3.2515440594559153,24056,15503,25.58300587737829,195.29885593023914,1,205,2723,39559,558215,518656"
"0,0.5814958271937822,38380,7841,24.995523077080975,113.40888887850957,0,131,752,46221,98512,52291"
"2,4.424557590248682,36035,9208,33.27446462270882,239.08356739572164,0,173,1465,45243,253445,208202"
"2,4.694532271176255,40620,16751,25.74926359463302,70.41681896502406,0,180,1238,57371,222840,165469"
"1,3.0430993261514403,29877,16590,27.402514882316122,281.0717676986653,1,168,1629,46467,273672,227205"
"2,3.634928707446015,40911,13733,24.24957143637396,131.4558651926212,2,144,1839,54644,264816,210172"
"1,4.651247215297831,42784,15886,31.80154255035691,81.94366319749761,2,205,801,58670,164205,105535"
